Facility,Times
Thueringer Landessternwarte Tautenburg,8
Qatar,5
Oak Ridge Observatory,1
Okayama Astrophysical Observatory,21
Acton Sky Portal Observatory,1
Parkes Observatory,2
KELT-North,5
Palomar Observatory,2
K2,292
Infrared Survey Facility,1
OGLE,43
Fred Lawrence Whipple Observatory,6
KMTNet,1
United Kingdom Infrared Telescope,2
Haute-Provence Observatory,42
Hubble Space Telescope,6
Large Binocular Telescope Observatory,2
Las Campanas Observatory,14
HATNet,57
Gemini Observatory,9
Yunnan Astronomical Observatory,1
Multiple Facilities,7
Xinglong Station,2
HATSouth,39
W. M. Keck Observatory,144
Anglo-Australian Telescope,35
SuperWASP-South,16
Arecibo Observatory,3
Cerro Tololo Inter-American Observatory,2
European Southern Observatory,1
SuperWASP,107
MEarth Project,2
Subaru Telescope,8
XO,6
SuperWASP-North,2
Mauna Kea Observatory,1
Bohyunsan Optical Astronomy Observatory (BOAO),1
Multiple Observatories,114
TrES,5
Lick Observatory,32
McDonald Observatory,28
Apache Point Observatory,1
Calar Alto Observatory,2
La Silla Observatory,206
Roque de los Muchachos Observatory,16
Kitt Peak National Observatory,1
CoRoT,30
Spitzer Space Telescope,3
Teide Observatory,1
Bohyunsan Optical Astronomical Observatory,15
KELT,10
Kepler,2327
KELT-South,4
Paranal Observatory,12
MOA,20
Leoncito Astronomical Complex,1
